0.144,0,0.003,0.456,0.002,0.665,0.002,1.079,0,1.775
0.153,0,0.003,0.552,0.003,0.763,0.002,1.17,0.002,1.877
0.305,0,0.019,0.639,0.003,0.863,0,1.272,0.003,1.978
0.447,0.001,0.039,0.736,0,0.965,0,1.369,0.009,2.08
0.463,0.001,0.053,0.831,0.005,1.064,0.011,1.474,0.005,2.182
0.606,0.001,0.101,0.927,0.005,1.156,0.002,1.572,0.002,2.274
0.64,0.001,0.122,1.024,0.009,1.254,0.002,1.676,0.002,2.376
0.772,0.001,0.145,1.106,0.009,1.355,0.006,1.764,0.003,2.478
0.791,0.001,0.149,1.2,0.022,1.454,0,1.869,0.014,2.579
0.927,0.001,0.153,1.286,0.017,1.554,0.006,1.971,0.008,2.682
1.052,0.001,0.153,1.362,0.032,1.654,0.014,2.071,0.011,2.773
1.205,0.001,0.155,1.41,0.039,1.748,0.006,2.174,0.012,2.874
1.236,0.001,0.306,1.419,0.06,1.845,0.022,2.265,0.012,2.975
1.389,0.001,0.455,1.422,0.056,1.949,0.012,2.362,0.015,3.082
1.392,0.001,0.464,1.425,0.073,2.047,0.031,2.47,0.022,3.186
1.545,0.001,0.611,1.427,0.097,2.148,0.034,2.563,0.028,3.286
1.592,0.002,0.639,1.429,0.09,2.236,0.032,2.673,0.019,3.379
1.7,0.002,0.772,1.432,0.113,2.337,0.036,2.759,0.02,3.478
1.835,0.002,0.778,1.433,0.111,2.436,0.029,2.864,0.037,3.581
1.863,0.002,0.927,1.435,0.131,2.537,0.051,2.966,0.037,3.685
2.01,0.002,0.976,1.437,0.139,2.637,0.057,3.066,0.042,3.786
4.021,0.004,1.183,1.439,0.141,2.724,0.073,3.173,0.025,3.875
5.879,0.006,1.236,1.441,0.145,2.828,0.074,3.272,0.042,3.977
7.845,0.008,1.36,1.443,0.144,2.928,0.094,3.362,0.063,4.079
9.748,0.01,1.391,1.444,0.149,3.022,0.079,3.465,0.077,4.183
11.781,0.012,1.541,1.446,0.153,3.124,0.104,3.566,0.063,4.286
13.759,0.014,1.552,1.448,0.153,3.213,0.119,3.661,0.068,4.378
15.625,0.016,1.7,1.449,0.153,3.299,0.131,3.771,0.093,4.478
17.638,0.018,1.784,1.451,0.153,3.385,0.114,3.86,0.093,4.58
19.644,0.02,1.856,1.452,0.153,3.46,0.131,3.957,0.105,4.681
21.507,0.022,2.008,1.454,0.252,3.501,0.136,4.063,0.091,4.787
,,3.962,1.479,0.314,3.512,0.136,4.163,0.108,4.876
,,5.877,1.503,0.463,3.518,0.144,4.255,0.105,4.977
,,7.734,1.526,0.463,3.525,0.145,4.356,0.124,5.079
,,9.72,1.548,0.614,3.531,0.141,4.455,0.127,5.184
,,11.601,1.569,0.747,3.537,0.15,4.553,0.135,5.286
,,13.598,1.589,0.772,3.542,0.15,4.654,0.125,5.388
,,15.473,1.61,0.8,3.547,0.15,4.756,0.133,5.477
,,17.399,1.631,0.927,3.552,0.152,4.84,0.136,5.58
,,19.349,1.652,1.021,3.557,0.153,4.945,0.142,5.683
,,21.347,1.674,1.2,3.562,0.153,5.043,0.144,5.776
,,,,1.236,3.566,0.153,5.138,0.145,5.888
,,,,1.361,3.571,0.152,5.241,0.145,5.977
,,,,1.391,3.575,0.153,5.338,0.15,6.076
,,,,1.538,3.58,0.152,5.418,0.15,6.18
,,,,1.545,3.584,0.153,5.517,0.144,6.28
,,,,1.7,3.589,0.153,5.605,0.149,6.381
,,,,1.726,3.593,0.155,5.682,0.15,6.471
,,,,1.855,3.597,0.252,5.734,0.153,6.57
,,,,2.002,3.601,0.312,5.752,0.152,6.673
,,,,3.868,3.669,0.459,5.764,0.149,6.775
,,,,5.724,3.731,0.463,5.776,0.152,6.878
,,,,7.61,3.796,0.605,5.785,0.153,6.964
,,,,9.505,3.859,0.637,5.794,0.152,7.065
,,,,11.446,3.919,0.772,5.803,0.152,7.164
,,,,13.303,3.982,0.775,5.811,0.153,7.267
,,,,15.308,4.045,0.927,5.82,0.153,7.366
,,,,17.016,4.109,0.933,5.829,0.153,7.465
,,,,19.027,4.175,1.091,5.837,0.153,7.543
,,,,20.883,4.243,1.236,5.844,0.153,7.65
,,,,,,1.241,5.852,0.153,7.733
,,,,,,1.391,5.86,0.153,7.835
,,,,,,1.397,5.868,0.153,7.92
,,,,,,1.545,5.875,0.166,7.986
,,,,,,1.586,5.883,0.303,8.031
,,,,,,1.702,5.89,0.354,8.053
,,,,,,1.838,5.897,0.463,8.069
,,,,,,1.855,5.905,0.469,8.085
,,,,,,2.008,5.912,0.616,8.097
,,,,,,3.866,6.029,0.702,8.111
,,,,,,5.661,6.149,0.772,8.125
,,,,,,7.43,6.265,0.78,8.138
,,,,,,9.29,6.387,0.927,8.151
,,,,,,11.143,6.501,0.93,8.162
,,,,,,13.006,6.631,1.086,8.175
,,,,,,14.85,6.752,1.236,8.187
,,,,,,16.705,6.884,1.239,8.199
,,,,,,18.506,7.018,1.391,8.211
,,,,,,20.415,7.153,1.392,8.223
,,,,,,,,1.544,8.234
,,,,,,,,1.552,8.245
,,,,,,,,1.7,8.257
,,,,,,,,1.734,8.269
,,,,,,,,1.856,8.281
,,,,,,,,1.977,8.291
,,,,,,,,2.011,8.302
,,,,,,,,3.846,8.475
,,,,,,,,5.568,8.673
,,,,,,,,7.348,8.851
,,,,,,,,9.126,9.047
,,,,,,,,10.842,9.243
,,,,,,,,12.669,9.443
,,,,,,,,14.387,9.656
,,,,,,,,16.088,9.871
,,,,,,,,17.797,10.093
,,,,,,,,19.644,10.339
,,,,,,,,21.346,10.587